id,year,tabac,gum
71.0,2018,7.0,2.0
72.0,2010,18.0,3.0
72.0,2011,16.0,11.0
72.0,2012,40.0,90.0
72.0,2013,14.0,11.0
72.0,2014,14.0,13.0
72.0,2018,7.0,1.0
72.0,2019,20.0,7.0
74.0,2010,5.0,2.0
74.0,2011,4.0,20.0
74.0,2014,7.0,2.0
74.0,2015,10.0,3.0
74.0,2016,7.0,7.0
74.0,2019,20.0,1.0
75.0,2010,20.0,7.0
75.0,2011,20.0,14.0
75.0,2012,14.0,20.0
75.0,2013,7.0,1.0
75.0,2014,4.0,1.0
75.0,2015,10.0,10.0
75.0,2016,20.0,3.0
75.0,2018,10.0,10.0
75.0,2019,20.0,2.0
76.0,2011,7.0,10.0
76.0,2012,35.0,14.0
76.0,2013,40.0,2.0
76.0,2014,23.0,12.0
76.0,2015,8.0,2.0
76.0,2016,22.0,2.0
76.0,2017,5.0,1.0
76.0,2018,16.0,4.0
76.0,2019,16.0,3.0
77.0,2010,7.0,22.0
77.0,2011,21.0,57.0
77.0,2012,36.0,42.0
77.0,2013,17.0,31.0
77.0,2014,3.0,2.0
77.0,2015,8.0,4.0
77.0,2016,7.0,7.0
77.0,2017,10.0,4.0
77.0,2019,7.0,2.0
78.0,2011,39.0,5.0
78.0,2013,7.0,2.0
78.0,2014,2.0,2.0
78.0,2019,5.0,2.0
79.0,2010,5.0,2.0
79.0,2011,9.0,5.0
79.0,2012,10.0,20.0
79.0,2014,10.0,6.0
79.0,2015,10.0,6.0
79.0,2016,13.0,8.0
79.0,2017,22.0,8.0
79.0,2018,15.0,7.0
79.0,2019,10.0,1.0
80.0,2010,15.0,6.0
80.0,2011,5.0,10.0
80.0,2012,9.0,22.0
80.0,2013,15.0,32.0
80.0,2014,7.0,2.0
80.0,2015,7.0,10.0
80.0,2017,13.0,3.0
80.0,2018,2.0,1.0
81.0,2010,10.0,2.0
81.0,2011,2.0,2.0
81.0,2012,19.0,6.0
81.0,2013,7.0,2.0
81.0,2014,9.0,3.0
81.0,2016,7.0,2.0
81.0,2017,4.0,1.0
81.0,2018,8.0,3.0
82.0,2010,10.0,2.0
82.0,2011,2.0,10.0
82.0,2015,3.0,1.0
82.0,2017,4.0,2.0
82.0,2019,15.0,4.0
83.0,2010,14.0,21.0
83.0,2011,47.0,49.0
83.0,2013,28.0,5.0
83.0,2015,20.0,3.0
83.0,2016,14.0,2.0
83.0,2017,20.0,2.0
83.0,2019,5.0,3.0
84.0,2012,1.0,2.0
84.0,2014,2.0,20.0
84.0,2019,14.0,2.0
85.0,2010,7.0,1.0
85.0,2011,42.0,43.0
85.0,2012,10.0,3.0
85.0,2013,16.0,31.0
85.0,2014,21.0,13.0
85.0,2015,34.0,5.0
85.0,2016,12.0,3.0
85.0,2017,8.0,3.0
85.0,2018,15.0,3.0
85.0,2019,22.0,4.0
86.0,2010,20.0,10.0
86.0,2011,30.0,50.0
86.0,2012,7.0,1.0
86.0,2014,20.0,4.0
86.0,2016,18.0,3.0
86.0,2017,5.0,2.0
86.0,2019,2.0,4.0
87.0,2010,22.0,13.0
87.0,2011,10.0,1.0
87.0,2014,7.0,2.0
87.0,2015,4.0,1.0
87.0,2016,4.0,1.0
87.0,2018,5.0,1.0
87.0,2019,3.0,1.0
88.0,2010,10.0,2.0
88.0,2012,20.0,20.0
88.0,2013,10.0,20.0
88.0,2016,28.0,22.0
88.0,2017,16.0,7.0
88.0,2018,19.0,5.0
89.0,2010,3.0,3.0
89.0,2011,22.0,24.0
89.0,2012,17.0,2.0
89.0,2015,15.0,3.0
89.0,2016,20.0,4.0
89.0,2017,10.0,1.0
90.0,2011,5.0,3.0
90.0,2013,17.0,6.0
90.0,2014,39.0,24.0
90.0,2019,3.0,1.0
91.0,2001,7.0,10.0
91.0,2010,47.0,10.0
91.0,2011,43.0,36.0
91.0,2012,61.0,45.0
91.0,2013,18.0,22.0
91.0,2014,30.0,6.0
91.0,2015,20.0,6.0
91.0,2016,17.0,5.0
91.0,2017,7.0,1.0
92.0,2010,4.0,10.0
